XsensPlugin_processed_com_acceleration_x;XsensPlugin_processed_com_acceleration_y;XsensPlugin_processed_com_acceleration_z;XsensPlugin_processed_com_position_x;XsensPlugin_processed_com_position_y;XsensPlugin_processed_com_position_z;XsensPlugin_processed_com_velocity_x;XsensPlugin_processed_com_velocity_y;XsensPlugin_processed_com_velocity_z;t
0.377581;-0.614409;-0.287463;-0.783955;0.207703;1.02313;0.00886815;-0.284811;-0.0261142;1.93
0.376038;-0.697222;-0.247347;-0.783988;0.201557;1.02258;0.016972;-0.299006;-0.0303455;1.935
0.376038;-0.697222;-0.247347;-0.783988;0.201557;1.02258;0.016972;-0.299006;-0.0303455;1.94
0.376038;-0.697222;-0.247347;-0.783988;0.201557;1.02258;0.016972;-0.299006;-0.0303455;1.945
0.376038;-0.697222;-0.247347;-0.783988;0.201557;1.02258;0.016972;-0.299006;-0.0303455;1.95
0.376038;-0.697222;-0.247347;-0.783988;0.201557;1.02258;0.016972;-0.299006;-0.0303455;1.955
0.368343;-0.82218;-0.240117;-0.783908;0.195161;1.02199;0.0245134;-0.321608;-0.0334409;1.96
0.368343;-0.82218;-0.240117;-0.783908;0.195161;1.02199;0.0245134;-0.321608;-0.0334409;1.965
0.368343;-0.82218;-0.240117;-0.783908;0.195161;1.02199;0.0245134;-0.321608;-0.0334409;1.97
0.374568;-0.859518;-0.195434;-0.783739;0.188563;1.02136;0.0280329;-0.347841;-0.0361953;1.975
0.374568;-0.859518;-0.195434;-0.783739;0.188563;1.02136;0.0280329;-0.347841;-0.0361953;1.98
0.374568;-0.859518;-0.195434;-0.783739;0.188563;1.02136;0.0280329;-0.347841;-0.0361953;1.985
0.371331;-0.747921;-0.0892062;-0.783457;0.181704;1.02071;0.030821;-0.374653;-0.0381643;1.99
0.371331;-0.747921;-0.0892062;-0.783457;0.181704;1.02071;0.030821;-0.374653;-0.0381643;1.995
0.371331;-0.747921;-0.0892062;-0.783457;0.181704;1.02071;0.030821;-0.374653;-0.0381643;2
0.374855;-0.731559;-0.0971706;-0.783045;0.174571;1.02003;0.0349455;-0.400342;-0.0394968;2.005
