XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.695189;-0.110936;-0.0411906;0.709019;-0.776983;0.394882;0.137833;2.195
0.695189;-0.110936;-0.0411906;0.709019;-0.776983;0.394882;0.137833;2.2
0.694498;-0.12302;-0.0503143;0.707112;-0.778024;0.390663;0.1419;2.205
0.694498;-0.12302;-0.0503143;0.707112;-0.778024;0.390663;0.1419;2.21
0.694498;-0.12302;-0.0503143;0.707112;-0.778024;0.390663;0.1419;2.215
0.693448;-0.136498;-0.0609156;0.704832;-0.779123;0.385715;0.146442;2.22
0.693448;-0.136498;-0.0609156;0.704832;-0.779123;0.385715;0.146442;2.225
0.693448;-0.136498;-0.0609156;0.704832;-0.779123;0.385715;0.146442;2.23
0.693448;-0.136498;-0.0609156;0.704832;-0.779123;0.385715;0.146442;2.235
0.691961;-0.151473;-0.0728562;0.702096;-0.780304;0.379928;0.151162;2.24
0.691961;-0.151473;-0.0728562;0.702096;-0.780304;0.379928;0.151162;2.245
0.690074;-0.167535;-0.0862354;0.69878;-0.781412;0.373199;0.155946;2.25
0.690074;-0.167535;-0.0862354;0.69878;-0.781412;0.373199;0.155946;2.255
0.690074;-0.167535;-0.0862354;0.69878;-0.781412;0.373199;0.155946;2.26
0.690074;-0.167535;-0.0862354;0.69878;-0.781412;0.373199;0.155946;2.265
0.687582;-0.185044;-0.100925;0.69484;-0.782602;0.365631;0.160908;2.27
0.687582;-0.185044;-0.100925;0.69484;-0.782602;0.365631;0.160908;2.275
0.687582;-0.185044;-0.100925;0.69484;-0.782602;0.365631;0.160908;2.28
0.683993;-0.205248;-0.116437;0.690267;-0.784361;0.357422;0.166096;2.285
0.683993;-0.205248;-0.116437;0.690267;-0.784361;0.357422;0.166096;2.29
0.683993;-0.205248;-0.116437;0.690267;-0.784361;0.357422;0.166096;2.295
0.683993;-0.205248;-0.116437;0.690267;-0.784361;0.357422;0.166096;2.3
0.679144;-0.228861;-0.132811;0.684652;-0.787139;0.348978;0.17147;2.305
0.679144;-0.228861;-0.132811;0.684652;-0.787139;0.348978;0.17147;2.31
0.679144;-0.228861;-0.132811;0.684652;-0.787139;0.348978;0.17147;2.315
0.672851;-0.255026;-0.149921;0.678054;-0.790486;0.339893;0.17707;2.32
0.672851;-0.255026;-0.149921;0.678054;-0.790486;0.339893;0.17707;2.325
0.672851;-0.255026;-0.149921;0.678054;-0.790486;0.339893;0.17707;2.33
0.672851;-0.255026;-0.149921;0.678054;-0.790486;0.339893;0.17707;2.335
0.664617;-0.282627;-0.167028;0.671199;-0.793538;0.329137;0.183061;2.34
0.664617;-0.282627;-0.167028;0.671199;-0.793538;0.329137;0.183061;2.345
0.654172;-0.3122;-0.184387;0.66377;-0.79598;0.316181;0.189499;2.35
0.654172;-0.3122;-0.184387;0.66377;-0.79598;0.316181;0.189499;2.355
0.654172;-0.3122;-0.184387;0.66377;-0.79598;0.316181;0.189499;2.36
0.654172;-0.3122;-0.184387;0.66377;-0.79598;0.316181;0.189499;2.365
0.641539;-0.343022;-0.201631;0.655827;-0.798125;0.301555;0.196328;2.37
0.641539;-0.343022;-0.201631;0.655827;-0.798125;0.301555;0.196328;2.375
0.641539;-0.343022;-0.201631;0.655827;-0.798125;0.301555;0.196328;2.38
0.641539;-0.343022;-0.201631;0.655827;-0.798125;0.301555;0.196328;2.385
0.626992;-0.372222;-0.217175;0.648973;-0.800054;0.285814;0.203546;2.39
0.626992;-0.372222;-0.217175;0.648973;-0.800054;0.285814;0.203546;2.395
0.626992;-0.372222;-0.217175;0.648973;-0.800054;0.285814;0.203546;2.4
0.608958;-0.402194;-0.231149;0.643413;-0.801624;0.269276;0.211727;2.405
0.608958;-0.402194;-0.231149;0.643413;-0.801624;0.269276;0.211727;2.41
0.608958;-0.402194;-0.231149;0.643413;-0.801624;0.269276;0.211727;2.415
0.589122;-0.4305;-0.243404;0.639031;-0.802977;0.251624;0.220296;2.42
0.589122;-0.4305;-0.243404;0.639031;-0.802977;0.251624;0.220296;2.425
0.589122;-0.4305;-0.243404;0.639031;-0.802977;0.251624;0.220296;2.43
0.573601;-0.44765;-0.252296;0.637917;-0.80462;0.232463;0.227527;2.435
0.573601;-0.44765;-0.252296;0.637917;-0.80462;0.232463;0.227527;2.44
0.573601;-0.44765;-0.252296;0.637917;-0.80462;0.232463;0.227527;2.445
0.565369;-0.449222;-0.257414;0.642103;-0.806764;0.211561;0.232926;2.45
0.565369;-0.449222;-0.257414;0.642103;-0.806764;0.211561;0.232926;2.455
0.565369;-0.449222;-0.257414;0.642103;-0.806764;0.211561;0.232926;2.46
0.565369;-0.449222;-0.257414;0.642103;-0.806764;0.211561;0.232926;2.465
0.562163;-0.440151;-0.259459;0.650323;-0.809197;0.189151;0.236986;2.47
0.562163;-0.440151;-0.259459;0.650323;-0.809197;0.189151;0.236986;2.475
0.562163;-0.440151;-0.259459;0.650323;-0.809197;0.189151;0.236986;2.48
0.562163;-0.440151;-0.259459;0.650323;-0.809197;0.189151;0.236986;2.485
0.562602;-0.42528;-0.258618;0.6601;-0.811787;0.165542;0.239458;2.49
0.562602;-0.42528;-0.258618;0.6601;-0.811787;0.165542;0.239458;2.495
0.562602;-0.42528;-0.258618;0.6601;-0.811787;0.165542;0.239458;2.5
0.567117;-0.404032;-0.25435;0.671151;-0.8147;0.141076;0.24048;2.505
0.567117;-0.404032;-0.25435;0.671151;-0.8147;0.141076;0.24048;2.51
0.567117;-0.404032;-0.25435;0.671151;-0.8147;0.141076;0.24048;2.515
0.574796;-0.376648;-0.246982;0.683188;-0.817769;0.11541;0.239913;2.52
0.574796;-0.376648;-0.246982;0.683188;-0.817769;0.11541;0.239913;2.525
0.574796;-0.376648;-0.246982;0.683188;-0.817769;0.11541;0.239913;2.53
0.574796;-0.376648;-0.246982;0.683188;-0.817769;0.11541;0.239913;2.535
0.582555;-0.349457;-0.238156;0.694112;-0.820362;0.0878341;0.237091;2.54
0.582555;-0.349457;-0.238156;0.694112;-0.820362;0.0878341;0.237091;2.545
0.582555;-0.349457;-0.238156;0.694112;-0.820362;0.0878341;0.237091;2.55
0.589181;-0.325111;-0.229114;0.703331;-0.821992;0.0577021;0.231265;2.555
0.589181;-0.325111;-0.229114;0.703331;-0.821992;0.0577021;0.231265;2.56
0.589181;-0.325111;-0.229114;0.703331;-0.821992;0.0577021;0.231265;2.565
0.595996;-0.301075;-0.21868;0.711563;-0.823146;0.0256589;0.223185;2.57
0.595996;-0.301075;-0.21868;0.711563;-0.823146;0.0256589;0.223185;2.575
0.595996;-0.301075;-0.21868;0.711563;-0.823146;0.0256589;0.223185;2.58
0.60398;-0.276099;-0.205008;0.718992;-0.824651;-0.00707515;0.214428;2.585
0.60398;-0.276099;-0.205008;0.718992;-0.824651;-0.00707515;0.214428;2.59
0.60398;-0.276099;-0.205008;0.718992;-0.824651;-0.00707515;0.214428;2.595
0.60398;-0.276099;-0.205008;0.718992;-0.824651;-0.00707515;0.214428;2.6
0.613695;-0.24907;-0.186588;0.725622;-0.826839;-0.0401442;0.205241;2.605
0.613695;-0.24907;-0.186588;0.725622;-0.826839;-0.0401442;0.205241;2.61
0.613695;-0.24907;-0.186588;0.725622;-0.826839;-0.0401442;0.205241;2.615
0.624198;-0.220992;-0.164844;0.731003;-0.829379;-0.0739042;0.195378;2.62
0.624198;-0.220992;-0.164844;0.731003;-0.829379;-0.0739042;0.195378;2.625
0.624198;-0.220992;-0.164844;0.731003;-0.829379;-0.0739042;0.195378;2.63
0.624198;-0.220992;-0.164844;0.731003;-0.829379;-0.0739042;0.195378;2.635
0.634287;-0.193808;-0.142372;0.734744;-0.832106;-0.108202;0.185686;2.64
0.634287;-0.193808;-0.142372;0.734744;-0.832106;-0.108202;0.185686;2.645
0.634287;-0.193808;-0.142372;0.734744;-0.832106;-0.108202;0.185686;2.65
0.643929;-0.168092;-0.11959;0.736749;-0.835108;-0.143131;0.176188;2.655
0.643929;-0.168092;-0.11959;0.736749;-0.835108;-0.143131;0.176188;2.66
0.643929;-0.168092;-0.11959;0.736749;-0.835108;-0.143131;0.176188;2.665
0.653228;-0.143369;-0.096163;0.737219;-0.838296;-0.178598;0.166862;2.67
0.653228;-0.143369;-0.096163;0.737219;-0.838296;-0.178598;0.166862;2.675
0.653228;-0.143369;-0.096163;0.737219;-0.838296;-0.178598;0.166862;2.68
0.653228;-0.143369;-0.096163;0.737219;-0.838296;-0.178598;0.166862;2.685
0.661501;-0.120099;-0.0736349;0.736594;-0.841233;-0.214173;0.15848;2.69
0.661501;-0.120099;-0.0736349;0.736594;-0.841233;-0.214173;0.15848;2.695
0.661501;-0.120099;-0.0736349;0.736594;-0.841233;-0.214173;0.15848;2.7
0.668792;-0.0989339;-0.0527224;0.734949;-0.843782;-0.250065;0.151258;2.705
0.668792;-0.0989339;-0.0527224;0.734949;-0.843782;-0.250065;0.151258;2.71
