XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.03
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.035
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.04
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.045
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.05
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.055
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.06
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.065
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.07
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.075
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.08
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.085
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.09
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.095
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.1
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.105
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.11
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.115
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.12
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.125
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;3.13
0.923865;0.0831205;0.078556;0.36523;-0.987901;0.868882;0.122425;3.135
0.923865;0.0831205;0.078556;0.36523;-0.987901;0.868882;0.122425;3.14
0.923865;0.0831205;0.078556;0.36523;-0.987901;0.868882;0.122425;3.145
0.923865;0.0831205;0.078556;0.36523;-0.987901;0.868882;0.122425;3.15
0.92223;0.0922796;0.092737;0.363835;-0.975704;0.854416;0.122575;3.155
0.92223;0.0922796;0.092737;0.363835;-0.975704;0.854416;0.122575;3.16
0.92223;0.0922796;0.092737;0.363835;-0.975704;0.854416;0.122575;3.165
0.920525;0.099481;0.104256;0.363137;-0.965287;0.841617;0.122339;3.17
0.920525;0.099481;0.104256;0.363137;-0.965287;0.841617;0.122339;3.175
0.920525;0.099481;0.104256;0.363137;-0.965287;0.841617;0.122339;3.18
0.91877;0.104215;0.113272;0.363552;-0.957243;0.831003;0.121652;3.185
0.91877;0.104215;0.113272;0.363552;-0.957243;0.831003;0.121652;3.19
0.91877;0.104215;0.113272;0.363552;-0.957243;0.831003;0.121652;3.195
0.91877;0.104215;0.113272;0.363552;-0.957243;0.831003;0.121652;3.2
0.917165;0.107012;0.119647;0.364749;-0.950979;0.822056;0.120578;3.205
0.917165;0.107012;0.119647;0.364749;-0.950979;0.822056;0.120578;3.21
0.917165;0.107012;0.119647;0.364749;-0.950979;0.822056;0.120578;3.215
0.916334;0.107519;0.120316;0.366464;-0.946502;0.814887;0.118936;3.22
0.916334;0.107519;0.120316;0.366464;-0.946502;0.814887;0.118936;3.225
0.916334;0.107519;0.120316;0.366464;-0.946502;0.814887;0.118936;3.23
0.916585;0.104968;0.112358;0.369092;-0.944494;0.810132;0.116299;3.235
0.916585;0.104968;0.112358;0.369092;-0.944494;0.810132;0.116299;3.24
0.916585;0.104968;0.112358;0.369092;-0.944494;0.810132;0.116299;3.245
0.916585;0.104968;0.112358;0.369092;-0.944494;0.810132;0.116299;3.25
0.917457;0.100109;0.0986751;0.372174;-0.944274;0.807155;0.113092;3.255
0.917457;0.100109;0.0986751;0.372174;-0.944274;0.807155;0.113092;3.26
0.917457;0.100109;0.0986751;0.372174;-0.944274;0.807155;0.113092;3.265
0.918552;0.0948795;0.0849543;0.374222;-0.943803;0.804162;0.110407;3.27
0.918552;0.0948795;0.0849543;0.374222;-0.943803;0.804162;0.110407;3.275
0.918552;0.0948795;0.0849543;0.374222;-0.943803;0.804162;0.110407;3.28
0.92007;0.08975;0.0725435;0.374371;-0.942245;0.800313;0.108687;3.285
0.92007;0.08975;0.0725435;0.374371;-0.942245;0.800313;0.108687;3.29
0.92007;0.08975;0.0725435;0.374371;-0.942245;0.800313;0.108687;3.295
0.92007;0.08975;0.0725435;0.374371;-0.942245;0.800313;0.108687;3.3
0.92184;0.0842559;0.0601028;0.373496;-0.940436;0.796449;0.107489;3.305
0.92184;0.0842559;0.0601028;0.373496;-0.940436;0.796449;0.107489;3.31
0.92184;0.0842559;0.0601028;0.373496;-0.940436;0.796449;0.107489;3.315
0.923213;0.0789692;0.0493175;0.372839;-0.93885;0.793294;0.10657;3.32
0.923213;0.0789692;0.0493175;0.372839;-0.93885;0.793294;0.10657;3.325
0.923213;0.0789692;0.0493175;0.372839;-0.93885;0.793294;0.10657;3.33
0.923995;0.0741992;0.0409037;0.3729;-0.937632;0.791303;0.105955;3.335
0.923995;0.0741992;0.0409037;0.3729;-0.937632;0.791303;0.105955;3.34
0.923995;0.0741992;0.0409037;0.3729;-0.937632;0.791303;0.105955;3.345
0.923995;0.0741992;0.0409037;0.3729;-0.937632;0.791303;0.105955;3.35
0.924492;0.0696476;0.034154;0.373225;-0.936635;0.790021;0.10562;3.355
0.924492;0.0696476;0.034154;0.373225;-0.936635;0.790021;0.10562;3.36
0.924492;0.0696476;0.034154;0.373225;-0.936635;0.790021;0.10562;3.365
0.924851;0.0649783;0.0286212;0.373643;-0.935896;0.788814;0.105251;3.37
0.924851;0.0649783;0.0286212;0.373643;-0.935896;0.788814;0.105251;3.375
0.924851;0.0649783;0.0286212;0.373643;-0.935896;0.788814;0.105251;3.38
0.924851;0.0649783;0.0286212;0.373643;-0.935896;0.788814;0.105251;3.385
0.925106;0.0596288;0.0244298;0.374202;-0.935521;0.787398;0.104641;3.39
0.925106;0.0596288;0.0244298;0.374202;-0.935521;0.787398;0.104641;3.395
0.925106;0.0596288;0.0244298;0.374202;-0.935521;0.787398;0.104641;3.4
0.925247;0.054164;0.0214566;0.374864;-0.935404;0.786056;0.103997;3.405
0.925247;0.054164;0.0214566;0.374864;-0.935404;0.786056;0.103997;3.41
0.925247;0.054164;0.0214566;0.374864;-0.935404;0.786056;0.103997;3.415
0.925351;0.0499382;0.0188815;0.375334;-0.935257;0.785003;0.103627;3.42
0.925351;0.0499382;0.0188815;0.375334;-0.935257;0.785003;0.103627;3.425
0.925351;0.0499382;0.0188815;0.375334;-0.935257;0.785003;0.103627;3.43
0.925463;0.047654;0.0164746;0.375466;-0.934972;0.784364;0.103769;3.435
0.925463;0.047654;0.0164746;0.375466;-0.934972;0.784364;0.103769;3.44
0.925463;0.047654;0.0164746;0.375466;-0.934972;0.784364;0.103769;3.445
0.925463;0.047654;0.0164746;0.375466;-0.934972;0.784364;0.103769;3.45
0.92557;0.0466106;0.0144665;0.375418;-0.934658;0.784014;0.104185;3.455
0.92557;0.0466106;0.0144665;0.375418;-0.934658;0.784014;0.104185;3.46
0.92557;0.0466106;0.0144665;0.375418;-0.934658;0.784014;0.104185;3.465
0.925653;0.0460577;0.0127283;0.375345;-0.934357;0.783782;0.104474;3.47
0.925653;0.0460577;0.0127283;0.375345;-0.934357;0.783782;0.104474;3.475
0.925653;0.0460577;0.0127283;0.375345;-0.934357;0.783782;0.104474;3.48
0.925699;0.0460405;0.0112754;0.37528;-0.934071;0.783674;0.104451;3.485
0.925699;0.0460405;0.0112754;0.37528;-0.934071;0.783674;0.104451;3.49
0.925699;0.0460405;0.0112754;0.37528;-0.934071;0.783674;0.104451;3.495
0.925699;0.0460405;0.0112754;0.37528;-0.934071;0.783674;0.104451;3.5
0.925724;0.0465138;0.0100924;0.375192;-0.933799;0.783684;0.104301;3.505
0.925724;0.0465138;0.0100924;0.375192;-0.933799;0.783684;0.104301;3.51
0.925724;0.0465138;0.0100924;0.375192;-0.933799;0.783684;0.104301;3.515
0.925757;0.0465914;0.0090038;0.375129;-0.933576;0.783625;0.104179;3.52
0.925757;0.0465914;0.0090038;0.375129;-0.933576;0.783625;0.104179;3.525
0.925757;0.0465914;0.0090038;0.375129;-0.933576;0.783625;0.104179;3.53
0.925757;0.0465914;0.0090038;0.375129;-0.933576;0.783625;0.104179;3.535
0.925803;0.04587;0.00791889;0.375129;-0.933419;0.783408;0.104147;3.54
0.925803;0.04587;0.00791889;0.375129;-0.933419;0.783408;0.104147;3.545
0.925803;0.04587;0.00791889;0.375129;-0.933419;0.783408;0.104147;3.55
0.925855;0.0447529;0.00692842;0.375155;-0.933311;0.783121;0.104143;3.555
0.925855;0.0447529;0.00692842;0.375155;-0.933311;0.783121;0.104143;3.56
0.925855;0.0447529;0.00692842;0.375155;-0.933311;0.783121;0.104143;3.565
0.92592;0.0435635;0.00612926;0.375148;-0.933244;0.782836;0.104133;3.57
0.92592;0.0435635;0.00612926;0.375148;-0.933244;0.782836;0.104133;3.575
0.92592;0.0435635;0.00612926;0.375148;-0.933244;0.782836;0.104133;3.58
0.926013;0.0425032;0.00565688;0.375049;-0.933223;0.782609;0.104111;3.585
0.926013;0.0425032;0.00565688;0.375049;-0.933223;0.782609;0.104111;3.59
0.926013;0.0425032;0.00565688;0.375049;-0.933223;0.782609;0.104111;3.595
0.926119;0.0413707;0.00537581;0.374916;-0.933243;0.782384;0.104083;3.6
0.926119;0.0413707;0.00537581;0.374916;-0.933243;0.782384;0.104083;3.605
0.926119;0.0413707;0.00537581;0.374916;-0.933243;0.782384;0.104083;3.61
0.926119;0.0413707;0.00537581;0.374916;-0.933243;0.782384;0.104083;3.615
0.926207;0.0398853;0.00497655;0.374868;-0.933272;0.782077;0.104039;3.62
0.926207;0.0398853;0.00497655;0.374868;-0.933272;0.782077;0.104039;3.625
0.926207;0.0398853;0.00497655;0.374868;-0.933272;0.782077;0.104039;3.63
0.92626;0.0379516;0.0042853;0.374944;-0.933288;0.781651;0.103957;3.635
0.92626;0.0379516;0.0042853;0.374944;-0.933288;0.781651;0.103957;3.64
0.92626;0.0379516;0.0042853;0.374944;-0.933288;0.781651;0.103957;3.645
0.92626;0.0379516;0.0042853;0.374944;-0.933288;0.781651;0.103957;3.65
0.92629;0.0356649;0.00347584;0.375103;-0.933313;0.781142;0.103859;3.655
0.92629;0.0356649;0.00347584;0.375103;-0.933313;0.781142;0.103859;3.66
0.92629;0.0356649;0.00347584;0.375103;-0.933313;0.781142;0.103859;3.665
0.926297;0.0330309;0.00276002;0.375334;-0.933387;0.78057;0.103792;3.67
0.926297;0.0330309;0.00276002;0.375334;-0.933387;0.78057;0.103792;3.675
0.926297;0.0330309;0.00276002;0.375334;-0.933387;0.78057;0.103792;3.68
0.926286;0.0297707;0.00216639;0.375637;-0.933537;0.779885;0.103777;3.685
0.926286;0.0297707;0.00216639;0.375637;-0.933537;0.779885;0.103777;3.69
0.926286;0.0297707;0.00216639;0.375637;-0.933537;0.779885;0.103777;3.695
0.926286;0.0297707;0.00216639;0.375637;-0.933537;0.779885;0.103777;3.7
0.926245;0.026163;0.00166641;0.376009;-0.933735;0.779136;0.103794;3.705
0.926245;0.026163;0.00166641;0.376009;-0.933735;0.779136;0.103794;3.71
0.926245;0.026163;0.00166641;0.376009;-0.933735;0.779136;0.103794;3.715
0.926155;0.0230502;0.00138633;0.376435;-0.933942;0.778494;0.103831;3.72
0.926155;0.0230502;0.00138633;0.376435;-0.933942;0.778494;0.103831;3.725
0.926155;0.0230502;0.00138633;0.376435;-0.933942;0.778494;0.103831;3.73
0.926155;0.0230502;0.00138633;0.376435;-0.933942;0.778494;0.103831;3.735
0.925998;0.0207897;0.00149318;0.376952;-0.934171;0.778026;0.103878;3.74
0.925998;0.0207897;0.00149318;0.376952;-0.934171;0.778026;0.103878;3.745
0.925801;0.0190244;0.00181997;0.377528;-0.934408;0.777665;0.103946;3.75
0.925801;0.0190244;0.00181997;0.377528;-0.934408;0.777665;0.103946;3.755
0.925801;0.0190244;0.00181997;0.377528;-0.934408;0.777665;0.103946;3.76
0.925801;0.0190244;0.00181997;0.377528;-0.934408;0.777665;0.103946;3.765
0.92562;0.0175251;0.00199193;0.378042;-0.934569;0.777385;0.104055;3.77
0.92562;0.0175251;0.00199193;0.378042;-0.934569;0.777385;0.104055;3.775
0.92562;0.0175251;0.00199193;0.378042;-0.934569;0.777385;0.104055;3.78
0.925474;0.0162778;0.0018585;0.378457;-0.934603;0.777209;0.104231;3.785
0.925474;0.0162778;0.0018585;0.378457;-0.934603;0.777209;0.104231;3.79
0.925474;0.0162778;0.0018585;0.378457;-0.934603;0.777209;0.104231;3.795
0.925474;0.0162778;0.0018585;0.378457;-0.934603;0.777209;0.104231;3.8
0.925346;0.0152967;0.00157025;0.378812;-0.93456;0.777114;0.10445;3.805
0.925346;0.0152967;0.00157025;0.378812;-0.93456;0.777114;0.10445;3.81
0.925346;0.0152967;0.00157025;0.378812;-0.93456;0.777114;0.10445;3.815
0.925241;0.0143949;0.00120423;0.379104;-0.934505;0.777011;0.104656;3.82
0.925241;0.0143949;0.00120423;0.379104;-0.934505;0.777011;0.104656;3.825
0.925241;0.0143949;0.00120423;0.379104;-0.934505;0.777011;0.104656;3.83
0.925241;0.0143949;0.00120423;0.379104;-0.934505;0.777011;0.104656;3.835
0.92516;0.0135349;0.000797005;0.379334;-0.934458;0.776874;0.104819;3.84
0.92516;0.0135349;0.000797005;0.379334;-0.934458;0.776874;0.104819;3.845
0.92516;0.0135349;0.000797005;0.379334;-0.934458;0.776874;0.104819;3.85
0.925103;0.0127543;0.000312007;0.379503;-0.9344;0.776728;0.104969;3.855
0.925103;0.0127543;0.000312007;0.379503;-0.9344;0.776728;0.104969;3.86
0.925103;0.0127543;0.000312007;0.379503;-0.9344;0.776728;0.104969;3.865
0.92507;0.0119792;-0.000283396;0.379607;-0.934329;0.776555;0.105148;3.87
0.92507;0.0119792;-0.000283396;0.379607;-0.934329;0.776555;0.105148;3.875
0.92507;0.0119792;-0.000283396;0.379607;-0.934329;0.776555;0.105148;3.88
0.925073;0.0111825;-0.000987922;0.379624;-0.934251;0.776342;0.105381;3.885
0.925073;0.0111825;-0.000987922;0.379624;-0.934251;0.776342;0.105381;3.89
0.925073;0.0111825;-0.000987922;0.379624;-0.934251;0.776342;0.105381;3.895
0.925073;0.0111825;-0.000987922;0.379624;-0.934251;0.776342;0.105381;3.9
0.9251;0.0103913;-0.00180285;0.379576;-0.934161;0.776103;0.105642;3.905
0.9251;0.0103913;-0.00180285;0.379576;-0.934161;0.776103;0.105642;3.91
0.9251;0.0103913;-0.00180285;0.379576;-0.934161;0.776103;0.105642;3.915
0.925125;0.00961365;-0.00276467;0.37953;-0.934042;0.775855;0.105892;3.92
0.925125;0.00961365;-0.00276467;0.37953;-0.934042;0.775855;0.105892;3.925
0.925125;0.00961365;-0.00276467;0.37953;-0.934042;0.775855;0.105892;3.93
0.925116;0.00880159;-0.0038664;0.379562;-0.933889;0.775614;0.106055;3.935
0.925116;0.00880159;-0.0038664;0.379562;-0.933889;0.775614;0.106055;3.94
0.925116;0.00880159;-0.0038664;0.379562;-0.933889;0.775614;0.106055;3.945
0.925116;0.00880159;-0.0038664;0.379562;-0.933889;0.775614;0.106055;3.95
0.925104;0.00800301;-0.005115;0.379595;-0.933708;0.775366;0.106207;3.955
0.925104;0.00800301;-0.005115;0.379595;-0.933708;0.775366;0.106207;3.96
0.925104;0.00800301;-0.005115;0.379595;-0.933708;0.775366;0.106207;3.965
0.925154;0.00736936;-0.00656793;0.379463;-0.933494;0.775083;0.106531;3.97
0.925154;0.00736936;-0.00656793;0.379463;-0.933494;0.775083;0.106531;3.975
0.925154;0.00736936;-0.00656793;0.379463;-0.933494;0.775083;0.106531;3.98
0.925154;0.00736936;-0.00656793;0.379463;-0.933494;0.775083;0.106531;3.985
0.925302;0.00700514;-0.00810531;0.379079;-0.933277;0.77477;0.10709;3.99
0.925302;0.00700514;-0.00810531;0.379079;-0.933277;0.77477;0.10709;3.995
0.925302;0.00700514;-0.00810531;0.379079;-0.933277;0.77477;0.10709;4
0.925512;0.00680585;-0.00984699;0.37853;-0.933027;0.774424;0.107822;4.005
0.925512;0.00680585;-0.00984699;0.37853;-0.933027;0.774424;0.107822;4.01
0.925512;0.00680585;-0.00984699;0.37853;-0.933027;0.774424;0.107822;4.015
0.925738;0.00660947;-0.0122099;0.37791;-0.932656;0.774008;0.108716;4.02
0.925738;0.00660947;-0.0122099;0.37791;-0.932656;0.774008;0.108716;4.025
0.925738;0.00660947;-0.0122099;0.37791;-0.932656;0.774008;0.108716;4.03
0.925966;0.0063178;-0.0149278;0.377259;-0.932231;0.773541;0.109646;4.035
0.925966;0.0063178;-0.0149278;0.377259;-0.932231;0.773541;0.109646;4.04
0.925966;0.0063178;-0.0149278;0.377259;-0.932231;0.773541;0.109646;4.045
0.925966;0.0063178;-0.0149278;0.377259;-0.932231;0.773541;0.109646;4.05
0.926203;0.00602899;-0.0182667;0.376534;-0.931683;0.773003;0.110738;4.055
0.926203;0.00602899;-0.0182667;0.376534;-0.931683;0.773003;0.110738;4.06
0.926203;0.00602899;-0.0182667;0.376534;-0.931683;0.773003;0.110738;4.065
0.926427;0.00587539;-0.0234418;0.375697;-0.930729;0.772309;0.112359;4.07
0.926427;0.00587539;-0.0234418;0.375697;-0.930729;0.772309;0.112359;4.075
0.926427;0.00587539;-0.0234418;0.375697;-0.930729;0.772309;0.112359;4.08
0.926666;0.00628485;-0.0302174;0.374616;-0.929442;0.771556;0.114476;4.085
0.926666;0.00628485;-0.0302174;0.374616;-0.929442;0.771556;0.114476;4.09
0.926666;0.00628485;-0.0302174;0.374616;-0.929442;0.771556;0.114476;4.095
0.926666;0.00628485;-0.0302174;0.374616;-0.929442;0.771556;0.114476;4.1
0.926832;0.00682913;-0.0388271;0.3734;-0.927748;0.770646;0.117121;4.105
0.926832;0.00682913;-0.0388271;0.3734;-0.927748;0.770646;0.117121;4.11
0.926832;0.00682913;-0.0388271;0.3734;-0.927748;0.770646;0.117121;4.115
0.926661;0.0063561;-0.0511864;0.372344;-0.925132;0.769196;0.120761;4.12
0.926661;0.0063561;-0.0511864;0.372344;-0.925132;0.769196;0.120761;4.125
0.926661;0.0063561;-0.0511864;0.372344;-0.925132;0.769196;0.120761;4.13
0.926661;0.0063561;-0.0511864;0.372344;-0.925132;0.769196;0.120761;4.135
0.925956;0.00518865;-0.0673473;0.371541;-0.921645;0.767428;0.125558;4.14
0.925956;0.00518865;-0.0673473;0.371541;-0.921645;0.767428;0.125558;4.145
0.925956;0.00518865;-0.0673473;0.371541;-0.921645;0.767428;0.125558;4.15
0.924611;0.00300234;-0.0872337;0.370778;-0.917238;0.76512;0.13135;4.155
0.924611;0.00300234;-0.0872337;0.370778;-0.917238;0.76512;0.13135;4.16
0.924611;0.00300234;-0.0872337;0.370778;-0.917238;0.76512;0.13135;4.165
0.922268;-0.00232395;-0.112545;0.369796;-0.911241;0.761228;0.138108;4.17
0.922268;-0.00232395;-0.112545;0.369796;-0.911241;0.761228;0.138108;4.175
0.922268;-0.00232395;-0.112545;0.369796;-0.911241;0.761228;0.138108;4.18
0.918154;-0.0117449;-0.144628;0.368697;-0.903238;0.755452;0.146058;4.185
0.918154;-0.0117449;-0.144628;0.368697;-0.903238;0.755452;0.146058;4.19
0.918154;-0.0117449;-0.144628;0.368697;-0.903238;0.755452;0.146058;4.195
0.918154;-0.0117449;-0.144628;0.368697;-0.903238;0.755452;0.146058;4.2
0.911954;-0.0242861;-0.18194;0.366943;-0.893647;0.748093;0.154973;4.205
0.911954;-0.0242861;-0.18194;0.366943;-0.893647;0.748093;0.154973;4.21
0.911954;-0.0242861;-0.18194;0.366943;-0.893647;0.748093;0.154973;4.215
0.904021;-0.0391542;-0.221829;0.363325;-0.883055;0.739004;0.16415;4.22
0.904021;-0.0391542;-0.221829;0.363325;-0.883055;0.739004;0.16415;4.225
0.904021;-0.0391542;-0.221829;0.363325;-0.883055;0.739004;0.16415;4.23
